satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Loyal Customer,40,Personal Travel,Eco,341,0,1,3,5,3,3,4,3,2,4,2,5,3,4,0,22
satisfied,Loyal Customer,36,Personal Travel,Eco Plus,321,4,4,4,2,4,3,5,5,3,4,3,4,3,4,2,0
neutral or dissatisfied,Loyal Customer,62,Personal Travel,Eco,986,3,1,2,3,3,2,3,3,3,3,2,2,3,3,63,47
satisfied,Loyal Customer,43,Personal Travel,Eco,746,3,3,3,5,2,4,3,5,3,4,4,5,2,2,0,0
satisfied,Loyal Customer,37,Personal Travel,Eco,699,4,4,2,3,3,2,5,3,3,3,3,3,3,4,13,28
satisfied,Loyal Customer,36,Business travel,Eco Plus,1873,4,5,4,4,2,5,5,3,5,4,3,4,3,3,0,0
neutral or dissatisfied,Loyal Customer,75,Personal Travel,Eco Plus,2216,3,2,3,4,3,2,3,4,3,3,3,4,3,4,81,89
neutral or dissatisfied,Loyal Customer,47,Business travel,Eco Plus,2038,4,3,3,2,4,4,4,5,5,5,4,4,3,5,0,5
satisfied,Disloyal Customer,22,Personal Travel,Eco,298,1,5,2,3,4,3,2,1,4,4,1,4,3,1,0,0
neutral or dissatisfied,Disloyal Customer,14,Personal Travel,Eco,1477,3,2,3,3,4,4,3,3,2,1,2,2,3,3,0,0
satisfied,Loyal Customer,47,Business travel,Business,1301,5,3,4,4,3,4,5,5,5,4,5,4,4,5,0,9
satisfied,Loyal Customer,30,Business travel,Eco,1830,3,3,4,4,3,4,4,4,2,3,4,3,3,4,9,21
neutral or dissatisfied,Loyal Customer,38,Business travel,Business,2703,4,4,5,4,2,4,3,4,5,3,5,4,4,4,7,12
satisfied,Loyal Customer,50,Business travel,Eco,1015,3,5,3,4,2,4,3,4,4,3,3,4,2,3,0,0
satisfied,Loyal Customer,18,Business travel,Eco,3313,2,2,4,3,3,5,3,4,2,3,5,3,3,3,0,0
satisfied,Loyal Customer,61,Business travel,Business,4243,4,2,5,1,3,3,4,4,4,4,5,5,5,5,19,20
neutral or dissatisfied,Disloyal Customer,52,Business travel,Business,744,3,4,3,2,5,3,3,2,4,5,3,3,3,2,0,0
neutral or dissatisfied,Loyal Customer,28,Business travel,Eco,3047,3,2,1,1,4,2,4,4,2,2,2,3,3,3,44,58
satisfied,Loyal Customer,62,Business travel,Business,2419,4,4,3,4,5,3,5,4,5,4,4,5,5,5,0,5
neutral or dissatisfied,Loyal Customer,34,Personal Travel,Eco,1915,3,4,4,3,2,4,3,4,3,4,2,2,2,1,19,26
neutral or dissatisfied,Loyal Customer,28,Personal Travel,Eco,965,3,2,1,2,5,4,3,2,2,2,3,3,3,3,0,3
satisfied,Loyal Customer,33,Business travel,Eco,1754,3,3,3,2,0,3,3,2,3,3,3,5,3,4,0,0
neutral or dissatisfied,Disloyal Customer,33,Personal Travel,Eco Plus,1456,3,2,1,4,3,2,3,3,2,3,3,4,3,3,16,10
satisfied,Loyal Customer,30,Business travel,Business,4983,2,3,4,4,4,5,4,4,4,4,4,3,4,5,0,1
satisfied,Loyal Customer,20,Business travel,Business,3457,4,5,3,4,5,4,5,4,4,4,5,5,5,5,0,5
satisfied,Disloyal Customer,49,Business travel,Business,1782,4,5,5,3,3,3,3,5,4,4,4,4,3,2,0,3
neutral or dissatisfied,Disloyal Customer,13,Personal Travel,Eco Plus,221,5,3,2,2,2,3,3,3,4,3,2,3,3,2,0,0
satisfied,Disloyal Customer,58,Business travel,Eco,2674,3,2,2,4,4,3,4,1,2,2,4,2,2,3,25,40
satisfied,Loyal Customer,26,Business travel,Business,1130,4,3,4,3,4,4,5,5,5,3,4,5,4,5,0,7
satisfied,Loyal Customer,23,Personal Travel,Eco Plus,134,4,4,3,3,2,5,5,3,3,5,5,5,4,3,3,5
satisfied,Loyal Customer,29,Business travel,Eco,660,3,3,3,4,3,2,5,3,2,3,2,4,3,5,0,10
neutral or dissatisfied,Loyal Customer,22,Business travel,Business,1111,3,3,3,3,4,5,5,5,4,5,3,4,5,3,1,0
satisfied,Loyal Customer,54,Business travel,Business,1475,5,4,4,2,3,3,4,4,4,5,4,3,5,5,0,6
neutral or dissatisfied,Loyal Customer,50,Personal Travel,Eco,321,2,4,2,2,5,4,4,5,4,3,4,4,3,5,0,1
neutral or dissatisfied,Loyal Customer,54,Business travel,Eco,2548,3,3,3,1,2,3,3,4,3,2,2,3,3,3,0,14
neutral or dissatisfied,Loyal Customer,25,Personal Travel,Eco Plus,749,4,3,3,4,2,3,4,5,3,4,2,5,4,3,0,10
satisfied,Loyal Customer,62,Business travel,Eco,4983,3,5,2,2,2,3,3,3,3,3,2,3,4,2,0,0
neutral or dissatisfied,Loyal Customer,18,Personal Travel,Eco,1056,4,4,3,5,4,2,4,4,5,2,3,4,3,4,0,5
neutral or dissatisfied,Disloyal Customer,43,Business travel,Business,4287,5,3,4,3,4,4,2,4,3,4,5,2,5,3,0,5
neutral or dissatisfied,Loyal Customer,63,Business travel,Business,639,4,2,5,4,4,4,5,5,3,5,4,4,4,2,0,0
satisfied,Loyal Customer,43,Personal Travel,Eco,1354,1,4,1,2,4,2,4,3,2,3,3,3,3,4,0,12
satisfied,Loyal Customer,60,Personal Travel,Eco,1321,2,3,3,4,3,4,3,5,3,2,2,4,3,3,1,5
neutral or dissatisfied,Disloyal Customer,32,Personal Travel,Eco,270,2,2,2,2,1,2,1,2,3,1,4,1,3,2,0,2
satisfied,Loyal Customer,34,Personal Travel,Eco,408,4,2,4,2,4,2,4,3,4,4,3,3,2,4,0,0
neutral or dissatisfied,Loyal Customer,30,Business travel,Eco Plus,2878,4,3,4,5,3,3,5,4,4,4,4,3,4,5,0,20
satisfied,Loyal Customer,39,Business travel,Business,4983,5,2,4,2,4,4,5,2,4,4,3,5,4,5,0,6
satisfied,Loyal Customer,21,Business travel,Business,1517,5,4,4,3,5,4,5,3,4,3,4,3,4,5,0,2
neutral or dissatisfied,Disloyal Customer,39,Personal Travel,Eco,1676,1,3,1,3,1,2,1,1,2,1,2,3,2,0,77,83
satisfied,Loyal Customer,19,Personal Travel,Business,793,3,5,3,4,5,5,3,3,4,4,4,5,5,5,0,8
neutral or dissatisfied,Loyal Customer,47,Personal Travel,Eco,635,3,2,4,5,4,4,3,4,3,3,4,3,3,2,0,4
neutral or dissatisfied,Loyal Customer,26,Personal Travel,Eco,2015,3,5,2,2,2,3,4,3,2,3,2,4,3,3,4,7
neutral or dissatisfied,Loyal Customer,35,Business travel,Eco,4793,4,4,2,3,2,2,3,5,3,3,4,3,2,3,0,0
satisfied,Loyal Customer,19,Personal Travel,Eco,506,4,4,4,3,1,1,3,4,3,3,2,4,4,4,0,0
satisfied,Loyal Customer,15,Personal Travel,Eco,301,3,4,3,3,4,4,4,4,3,4,3,4,4,3,57,48
satisfied,Disloyal Customer,59,Personal Travel,Eco,531,2,4,3,4,4,2,2,2,3,1,3,3,4,3,0,0
neutral or dissatisfied,Loyal Customer,47,Personal Travel,Eco Plus,1482,4,3,2,3,2,5,5,4,1,3,3,3,4,4,8,17
satisfied,Loyal Customer,23,Personal Travel,Eco Plus,632,2,3,2,4,1,4,3,3,3,1,3,4,3,4,55,62
satisfied,Loyal Customer,27,Personal Travel,Business,1208,4,1,5,3,4,5,5,5,5,3,3,4,4,4,29,28
satisfied,Loyal Customer,28,Business travel,Eco,1254,3,3,4,5,0,3,3,4,3,4,2,3,3,2,64,60
neutral or dissatisfied,Disloyal Customer,24,Business travel,Eco Plus,1928,3,1,3,2,3,3,2,4,2,2,4,2,3,3,0,0
neutral or dissatisfied,Disloyal Customer,40,Business travel,Business,2501,4,3,2,2,4,3,3,5,2,4,4,4,4,2,0,11
neutral or dissatisfied,Loyal Customer,44,Business travel,Eco,3264,2,2,3,3,4,1,3,3,4,2,2,1,3,1,68,67
satisfied,Loyal Customer,44,Business travel,Business,1106,4,4,4,2,5,3,4,4,4,5,4,3,4,5,0,0
satisfied,Disloyal Customer,34,Business travel,Eco Plus,1883,4,3,2,3,5,3,3,4,3,1,4,4,2,3,55,52
satisfied,Loyal Customer,28,Personal Travel,Business,191,4,4,3,4,3,4,3,4,3,3,4,4,5,5,0,6
satisfied,Loyal Customer,43,Business travel,Business,503,2,3,3,3,3,4,5,3,5,5,3,5,4,4,0,11
satisfied,Loyal Customer,43,Business travel,Business,4983,4,5,3,3,2,5,5,2,5,5,5,3,4,4,0,3
neutral or dissatisfied,Loyal Customer,33,Personal Travel,Eco,419,3,1,4,2,1,2,3,4,3,3,3,4,3,2,17,26
neutral or dissatisfied,Disloyal Customer,40,Business travel,Business,2161,4,4,4,3,3,4,4,3,4,4,3,4,4,4,0,3
satisfied,Loyal Customer,28,Business travel,Business,3677,5,3,5,4,4,3,4,4,4,4,3,5,5,4,0,8
satisfied,Loyal Customer,7,Personal Travel,Business,2636,3,5,3,3,5,2,4,5,3,3,3,4,4,3,0,0
neutral or dissatisfied,Disloyal Customer,19,Personal Travel,Eco,1036,2,4,2,5,4,2,3,2,2,2,4,3,2,2,0,10
neutral or dissatisfied,Loyal Customer,23,Personal Travel,Eco,2200,3,3,4,2,3,4,4,4,3,3,3,3,4,4,0,2
satisfied,Loyal Customer,28,Business travel,Business,396,5,3,5,4,4,3,4,5,4,4,4,5,4,4,14,9
neutral or dissatisfied,Loyal Customer,31,Business travel,Eco Plus,1409,3,3,2,2,1,1,3,4,3,3,3,4,2,3,52,63
neutral or dissatisfied,Loyal Customer,24,Personal Travel,Business,1266,5,2,3,3,1,2,4,3,3,4,2,4,4,3,87,105
neutral or dissatisfied,Loyal Customer,33,Business travel,Eco Plus,1709,4,2,4,2,4,5,4,1,5,3,4,5,3,3,0,7
satisfied,Disloyal Customer,19,Business travel,Business,3010,5,5,1,5,2,3,3,3,5,3,3,3,5,3,13,19
satisfied,Loyal Customer,42,Business travel,Eco Plus,4314,2,3,4,4,2,3,4,1,5,3,5,5,5,3,0,0
satisfied,Loyal Customer,69,Personal Travel,Eco Plus,1953,4,4,2,3,3,4,4,3,4,3,3,4,3,4,0,0
satisfied,Loyal Customer,40,Personal Travel,Eco Plus,253,4,4,3,2,2,4,4,3,3,3,3,3,4,2,24,31
satisfied,Loyal Customer,44,Personal Travel,Eco Plus,1736,3,3,2,3,5,4,3,3,4,5,2,4,2,5,0,11
neutral or dissatisfied,Disloyal Customer,41,Business travel,Business,1711,4,4,3,4,2,5,3,5,5,3,4,3,4,4,0,0
neutral or dissatisfied,Loyal Customer,34,Business travel,Eco,2138,1,3,2,4,1,3,4,1,3,1,3,3,3,4,0,0
satisfied,Loyal Customer,32,Business travel,Business,224,5,3,5,3,2,3,4,5,3,5,4,5,4,4,29,25
satisfied,Loyal Customer,46,Business travel,Business,1176,4,2,2,4,2,2,4,3,4,4,4,4,4,2,108,109
satisfied,Loyal Customer,54,Business travel,Business,1796,4,3,5,4,3,4,5,3,4,5,5,3,4,4,0,0
satisfied,Loyal Customer,49,Business travel,Business,2629,4,3,4,4,5,5,4,4,5,3,5,3,4,4,0,0
neutral or dissatisfied,Loyal Customer,33,Personal Travel,Eco,219,4,3,4,4,4,3,3,3,2,4,3,3,2,5,1,0
neutral or dissatisfied,Loyal Customer,34,Business travel,Eco,3310,3,4,5,4,3,4,3,3,5,3,3,2,4,4,11,4
satisfied,Loyal Customer,39,Business travel,Business,1850,5,3,2,4,3,5,3,3,5,5,4,4,5,3,34,23
satisfied,Loyal Customer,42,Personal Travel,Eco,932,3,4,3,4,3,3,3,3,4,4,3,3,2,3,0,16
neutral or dissatisfied,Loyal Customer,28,Personal Travel,Eco,333,1,1,2,2,1,3,3,3,3,4,3,2,3,1,84,77
neutral or dissatisfied,Loyal Customer,63,Business travel,Eco,2476,3,4,4,3,1,3,3,4,3,4,3,3,4,5,0,3
satisfied,Disloyal Customer,43,Personal Travel,Eco,1673,2,5,2,2,3,5,2,2,4,2,2,3,3,3,0,4
neutral or dissatisfied,Loyal Customer,60,Personal Travel,Eco,720,5,4,1,4,2,2,3,4,1,2,2,3,4,3,0,4
satisfied,Loyal Customer,57,Business travel,Business,1305,3,2,3,1,1,5,4,3,4,5,4,4,4,4,59,74
satisfied,Loyal Customer,46,Business travel,Eco Plus,1766,3,5,4,4,3,4,4,5,5,5,2,3,4,3,0,0
neutral or dissatisfied,Disloyal Customer,50,Personal Travel,Eco Plus,807,2,5,3,2,3,3,3,1,2,2,4,2,4,3,0,2
satisfied,Loyal Customer,41,Business travel,Business,3095,4,5,4,3,2,4,3,5,5,4,3,3,4,5,0,17
satisfied,Disloyal Customer,59,Business travel,Business,2028,3,4,3,4,3,4,3,5,2,5,4,1,4,4,0,0
satisfied,Loyal Customer,34,Business travel,Business,1221,4,3,3,4,2,4,5,4,4,5,5,4,5,3,35,46
neutral or dissatisfied,Disloyal Customer,42,Business travel,Eco Plus,4939,5,1,1,3,4,3,3,3,3,3,3,2,2,4,0,0
satisfied,Disloyal Customer,47,Business travel,Business,4983,3,4,3,4,4,5,2,4,4,5,4,4,4,4,8,9
neutral or dissatisfied,Loyal Customer,30,Business travel,Business,932,3,4,5,3,2,3,5,4,4,5,3,5,4,3,27,19
neutral or dissatisfied,Disloyal Customer,29,Business travel,Eco Plus,2865,4,4,2,2,3,3,2,3,2,3,2,3,2,5,28,39
satisfied,Disloyal Customer,45,Business travel,Eco,1661,0,3,3,4,3,4,1,1,1,2,3,2,2,4,3,9
satisfied,Loyal Customer,20,Personal Travel,Eco Plus,626,2,5,5,3,4,5,5,3,2,4,2,4,4,4,0,5
satisfied,Loyal Customer,46,Business travel,Business,1204,4,5,5,3,3,4,4,4,5,5,4,4,4,5,12,15
satisfied,Loyal Customer,39,Business travel,Business,4983,5,1,3,5,4,3,4,4,4,4,3,4,5,5,11,2
neutral or dissatisfied,Disloyal Customer,45,Business travel,Eco,4519,3,4,3,2,2,2,2,3,2,4,3,4,2,2,10,0
satisfied,Loyal Customer,21,Personal Travel,Eco,486,2,2,3,3,2,4,5,4,3,2,2,4,2,3,0,0
satisfied,Loyal Customer,62,Personal Travel,Eco,226,4,5,4,3,1,3,4,3,2,4,2,3,2,5,2,5
satisfied,Loyal Customer,55,Business travel,Business,1500,5,2,4,3,3,4,4,4,4,5,3,4,5,3,18,29
neutral or dissatisfied,Loyal Customer,62,Business travel,Eco,3844,5,2,4,4,4,4,3,4,3,4,4,4,3,3,0,7
neutral or dissatisfied,Disloyal Customer,20,Personal Travel,Eco,786,5,3,2,3,2,2,2,1,3,4,3,2,2,3,0,0
neutral or dissatisfied,Disloyal Customer,25,Business travel,Eco,725,2,3,4,2,4,3,2,3,3,2,3,3,2,3,0,5
satisfied,Loyal Customer,70,Personal Travel,Eco,1701,3,4,5,5,1,4,5,5,2,3,4,2,2,3,0,3
satisfied,Disloyal Customer,31,Business travel,Business,1311,4,5,4,4,5,3,3,4,4,2,4,2,4,4,14,5
neutral or dissatisfied,Loyal Customer,61,Business travel,Eco,1126,2,2,3,2,1,3,4,5,3,2,4,4,3,4,12,22
satisfied,Loyal Customer,35,Business travel,Business,692,4,3,5,3,5,4,4,4,3,5,3,4,4,3,0,10
neutral or dissatisfied,Disloyal Customer,64,Business travel,Business,1073,3,3,4,3,4,3,4,5,4,4,2,2,2,4,0,0
satisfied,Loyal Customer,42,Business travel,Eco Plus,2690,5,2,4,3,3,3,3,4,3,5,4,3,5,5,0,6
satisfied,Disloyal Customer,41,Business travel,Business,786,4,4,5,4,3,4,5,3,3,4,3,4,3,4,0,0
satisfied,Loyal Customer,65,Business travel,Business,1386,5,4,5,4,3,5,5,4,5,4,5,4,4,4,25,29
satisfied,Loyal Customer,25,Business travel,Business,2029,4,3,5,1,4,5,5,5,4,4,4,5,4,4,0,3
neutral or dissatisfied,Loyal Customer,26,Personal Travel,Eco,2492,3,2,4,4,3,4,3,2,4,3,3,3,3,2,12,24
neutral or dissatisfied,Disloyal Customer,46,Personal Travel,Eco,475,1,2,3,4,2,1,3,2,2,1,3,4,2,3,9,13
neutral or dissatisfied,Loyal Customer,22,Business travel,Business,1446,5,5,2,3,4,4,5,5,5,4,5,3,4,4,0,5
satisfied,Loyal Customer,49,Business travel,Business,859,3,5,2,3,4,3,3,4,5,4,4,5,5,4,0,1
neutral or dissatisfied,Disloyal Customer,56,Business travel,Business,2823,4,4,5,4,4,5,4,2,3,3,3,3,3,4,0,0
neutral or dissatisfied,Disloyal Customer,22,Business travel,Eco Plus,3315,2,4,3,1,2,3,1,1,3,3,3,3,3,4,21,24
neutral or dissatisfied,Loyal Customer,48,Business travel,Business,1350,3,3,3,5,4,3,5,4,4,4,3,4,5,3,60,60
satisfied,Loyal Customer,44,Business travel,Business,4983,5,2,5,2,5,5,2,4,5,5,4,5,5,5,57,57
satisfied,Loyal Customer,32,Business travel,Business,857,5,4,3,2,3,5,4,5,4,3,4,5,3,4,0,0
satisfied,Disloyal Customer,50,Personal Travel,Business,1274,3,3,3,3,2,5,2,4,4,4,4,3,3,2,41,42
neutral or dissatisfied,Loyal Customer,78,Business travel,Eco,4116,3,4,3,3,2,4,2,4,3,2,4,3,4,5,0,10
neutral or dissatisfied,Disloyal Customer,34,Personal Travel,Eco,4500,1,3,2,3,2,2,1,2,0,0,1,2,1,1,86,80
satisfied,Loyal Customer,42,Personal Travel,Eco,2337,4,3,4,4,4,3,3,1,3,3,2,3,3,3,0,19
neutral or dissatisfied,Disloyal Customer,32,Personal Travel,Eco Plus,743,3,4,2,3,4,4,3,2,2,4,2,2,2,3,0,13
satisfied,Loyal Customer,54,Business travel,Eco Plus,1227,3,3,3,5,3,2,5,4,2,4,4,5,3,2,0,16
neutral or dissatisfied,Loyal Customer,48,Business travel,Eco,2197,2,5,5,5,4,3,2,4,3,3,3,2,4,4,0,0
neutral or dissatisfied,Loyal Customer,20,Personal Travel,Eco Plus,635,5,3,5,4,4,4,3,4,2,2,3,4,3,3,0,0
neutral or dissatisfied,Loyal Customer,15,Personal Travel,Eco,2626,3,3,2,3,4,3,4,3,3,2,3,4,4,3,0,17
satisfied,Disloyal Customer,32,Personal Travel,Eco Plus,1192,1,3,4,3,2,2,2,3,3,4,4,2,2,2,0,0
satisfied,Loyal Customer,39,Business travel,Business,1998,5,3,5,5,4,5,4,3,5,4,4,5,5,5,0,6
satisfied,Disloyal Customer,66,Business travel,Eco Plus,1729,3,4,2,4,3,3,3,3,3,3,4,4,3,3,0,0
satisfied,Loyal Customer,32,Business travel,Business,1373,4,3,3,4,5,2,5,5,5,3,5,5,4,5,9,0
neutral or dissatisfied,Disloyal Customer,52,Personal Travel,Eco Plus,447,3,3,2,4,1,2,3,3,4,2,3,2,2,3,5,0
neutral or dissatisfied,Disloyal Customer,58,Business travel,Business,1093,3,5,4,5,5,5,2,4,2,5,5,2,5,5,0,14
satisfied,Loyal Customer,47,Business travel,Business,2576,4,3,4,2,5,5,5,3,5,4,5,4,4,4,0,18
satisfied,Loyal Customer,55,Business travel,Business,2992,5,5,3,5,3,4,5,3,5,5,5,4,5,4,0,7
satisfied,Loyal Customer,27,Personal Travel,Eco,1790,2,5,3,4,0,4,2,3,2,2,4,3,2,5,0,0
satisfied,Loyal Customer,27,Personal Travel,Eco,4500,3,5,2,3,3,3,4,5,4,3,5,5,2,2,11,4
satisfied,Disloyal Customer,38,Business travel,Eco,4983,3,3,2,4,4,4,3,2,4,1,2,2,3,2,0,4
satisfied,Loyal Customer,50,Business travel,Eco,3260,3,3,2,3,4,3,3,3,4,3,2,3,3,4,0,0
neutral or dissatisfied,Disloyal Customer,7,Personal Travel,Eco Plus,651,3,5,3,4,5,1,3,2,2,2,2,2,4,2,0,10
neutral or dissatisfied,Loyal Customer,28,Business travel,Eco Plus,1643,4,3,5,5,3,5,4,3,4,3,4,3,4,4,0,16
neutral or dissatisfied,Loyal Customer,23,Business travel,Eco,2814,3,4,5,2,3,4,4,4,3,4,4,3,3,4,0,0
neutral or dissatisfied,Disloyal Customer,36,Personal Travel,Eco,3067,2,3,2,3,4,2,2,2,3,1,3,4,0,3,0,0
neutral or dissatisfied,Loyal Customer,48,Business travel,Eco,1169,3,4,3,3,4,4,3,3,3,4,3,5,3,3,0,0
satisfied,Loyal Customer,49,Personal Travel,Eco,1806,3,3,1,5,3,2,3,5,4,3,3,3,4,4,0,0
neutral or dissatisfied,Disloyal Customer,25,Personal Travel,Eco,1209,3,3,4,2,3,3,1,3,4,2,3,3,1,2,0,0
satisfied,Loyal Customer,60,Personal Travel,Eco Plus,1069,3,2,2,4,3,3,5,5,5,4,3,5,3,3,0,0
satisfied,Loyal Customer,49,Personal Travel,Eco,791,3,4,3,2,3,4,4,3,4,3,5,5,3,2,12,11
satisfied,Loyal Customer,49,Business travel,Eco,2927,4,3,1,4,3,1,2,2,5,5,3,3,2,4,0,5
satisfied,Loyal Customer,41,Business travel,Business,499,4,4,5,2,5,4,3,5,4,4,5,5,5,4,25,17
neutral or dissatisfied,Loyal Customer,7,Personal Travel,Eco,1439,2,2,2,3,1,3,4,2,3,2,1,2,3,2,56,54
neutral or dissatisfied,Disloyal Customer,39,Business travel,Eco,1959,2,2,1,4,0,2,4,1,2,4,3,2,5,2,0,21
satisfied,Disloyal Customer,49,Personal Travel,Eco,462,2,3,2,2,3,2,2,2,3,2,3,4,3,3,0,0
satisfied,Loyal Customer,28,Business travel,Eco,708,3,4,2,3,4,4,4,4,4,4,4,4,2,4,0,6
satisfied,Loyal Customer,56,Business travel,Eco,2075,3,2,3,5,2,5,4,4,3,4,4,3,5,4,0,0
satisfied,Loyal Customer,50,Business travel,Business,890,5,5,5,2,5,5,5,5,5,5,4,5,5,5,0,14
neutral or dissatisfied,Disloyal Customer,76,Personal Travel,Eco Plus,907,2,4,2,4,3,2,3,2,4,2,4,3,4,2,0,12
neutral or dissatisfied,Loyal Customer,45,Business travel,Eco,1626,3,4,3,5,2,3,4,3,2,4,4,4,1,3,0,3
satisfied,Disloyal Customer,42,Business travel,Eco Plus,2594,3,4,2,1,5,4,4,3,3,3,2,3,4,3,0,8
neutral or dissatisfied,Disloyal Customer,31,Business travel,Eco,2537,4,3,4,4,4,3,2,3,2,2,3,3,2,2,0,4
neutral or dissatisfied,Disloyal Customer,41,Business travel,Eco,1895,2,3,3,3,1,3,2,1,3,1,3,3,3,3,0,5
satisfied,Loyal Customer,38,Personal Travel,Eco Plus,90,4,3,4,3,3,5,5,3,2,3,5,4,4,5,0,3
neutral or dissatisfied,Loyal Customer,26,Business travel,Business,3590,3,4,2,3,4,3,3,5,5,5,4,3,5,5,54,46
satisfied,Loyal Customer,52,Business travel,Eco Plus,1916,3,4,3,3,4,4,5,4,3,5,4,5,3,4,0,23
satisfied,Loyal Customer,35,Business travel,Business,966,4,3,3,3,3,4,5,5,4,4,5,5,4,5,0,0
neutral or dissatisfied,Loyal Customer,33,Business travel,Eco,811,3,2,2,2,3,3,4,3,2,3,2,2,3,1,258,255
neutral or dissatisfied,Loyal Customer,49,Business travel,Eco,1012,3,4,2,3,5,2,4,5,3,4,4,4,5,4,0,7
satisfied,Loyal Customer,34,Personal Travel,Business,1591,5,3,4,3,4,4,4,5,5,5,4,5,5,4,18,23
neutral or dissatisfied,Disloyal Customer,39,Personal Travel,Business,4500,3,3,1,3,2,2,2,3,4,3,3,3,3,1,55,66
satisfied,Loyal Customer,41,Business travel,Business,3023,5,3,3,3,4,5,5,5,4,5,5,5,4,5,0,0
neutral or dissatisfied,Loyal Customer,35,Business travel,Business,618,4,4,4,5,4,3,4,4,5,4,5,5,5,5,15,4
neutral or dissatisfied,Loyal Customer,27,Personal Travel,Eco,543,3,2,4,2,3,2,3,2,3,4,4,4,3,4,0,0
satisfied,Loyal Customer,41,Business travel,Eco,1681,4,3,3,4,2,3,4,5,4,4,4,4,4,3,12,13
neutral or dissatisfied,Disloyal Customer,38,Business travel,Business,2152,4,5,5,4,5,5,5,3,4,3,3,4,4,3,18,17
satisfied,Loyal Customer,31,Business travel,Business,776,4,3,5,4,5,5,4,4,5,5,4,4,4,5,0,4
satisfied,Loyal Customer,7,Personal Travel,Business,3369,3,2,4,3,5,3,4,2,4,5,3,3,3,2,64,66
neutral or dissatisfied,Disloyal Customer,31,Business travel,Eco Plus,4983,4,3,2,2,1,3,2,1,4,4,4,2,3,3,0,0
neutral or dissatisfied,Loyal Customer,51,Personal Travel,Eco,1075,5,3,3,3,1,3,3,4,3,3,4,5,2,3,0,16
satisfied,Loyal Customer,53,Business travel,Business,4045,3,4,3,1,4,4,4,4,4,5,2,4,4,5,7,22
satisfied,Loyal Customer,54,Business travel,Business,1731,5,4,3,3,5,4,5,5,5,5,5,5,5,5,3,0
satisfied,Loyal Customer,33,Business travel,Business,782,4,2,4,4,3,3,3,5,4,5,4,4,3,3,43,63
satisfied,Loyal Customer,50,Business travel,Eco,1367,3,5,2,3,4,4,4,4,4,4,3,3,2,4,0,10
satisfied,Loyal Customer,22,Business travel,Eco Plus,3889,4,3,5,4,5,4,4,2,3,5,4,3,4,4,0,14
neutral or dissatisfied,Loyal Customer,49,Business travel,Eco,2588,3,3,3,4,3,4,4,3,3,3,3,3,4,3,28,20
neutral or dissatisfied,Loyal Customer,30,Personal Travel,Eco,782,3,4,4,3,1,4,3,4,3,3,2,3,4,4,0,12
neutral or dissatisfied,Loyal Customer,36,Business travel,Business,2674,5,4,5,5,3,5,4,5,4,4,4,4,3,4,3,17
satisfied,Loyal Customer,30,Business travel,Business,4389,4,4,3,5,4,5,3,5,3,5,4,4,4,3,4,11
satisfied,Loyal Customer,40,Business travel,Business,2561,4,3,3,2,5,5,4,4,5,5,5,4,3,5,10,5
neutral or dissatisfied,Disloyal Customer,12,Personal Travel,Eco,865,3,3,3,4,2,3,1,3,1,2,4,3,3,4,0,9
satisfied,Loyal Customer,23,Personal Travel,Eco,176,4,2,3,3,2,2,4,2,4,2,3,3,3,3,0,19
satisfied,Loyal Customer,26,Business travel,Business,1235,5,4,4,3,5,5,5,5,5,4,4,3,5,5,0,0
satisfied,Loyal Customer,19,Personal Travel,Eco,242,3,3,2,4,3,4,4,5,4,3,2,3,2,3,0,12
satisfied,Loyal Customer,48,Personal Travel,Eco Plus,841,5,4,4,4,4,3,4,3,3,4,2,5,4,3,5,2
satisfied,Loyal Customer,31,Personal Travel,Eco,559,3,2,4,3,4,5,3,3,2,2,5,5,3,2,0,3
satisfied,Loyal Customer,26,Personal Travel,Eco,493,2,4,3,3,2,3,2,4,2,2,2,4,3,4,0,15
satisfied,Loyal Customer,67,Personal Travel,Eco Plus,1003,3,4,1,2,3,2,3,3,3,4,3,3,3,4,0,13
satisfied,Loyal Customer,43,Business travel,Eco,3226,2,2,4,3,1,5,4,5,3,3,4,4,3,5,1,1
neutral or dissatisfied,Loyal Customer,40,Personal Travel,Eco,1612,4,3,3,3,2,4,4,4,3,4,2,4,4,4,0,0
satisfied,Loyal Customer,40,Business travel,Business,4354,5,2,4,3,4,4,3,4,5,3,4,5,3,4,0,26
satisfied,Loyal Customer,45,Personal Travel,Eco,546,3,2,2,4,4,3,3,2,3,5,4,5,4,4,0,11
neutral or dissatisfied,Disloyal Customer,45,Personal Travel,Eco,1690,3,3,2,3,4,3,1,1,3,1,2,2,3,1,0,0
neutral or dissatisfied,Disloyal Customer,24,Personal Travel,Eco,950,2,1,4,3,3,3,3,4,1,2,3,2,2,2,3,3
satisfied,Loyal Customer,47,Business travel,Eco Plus,337,4,4,4,4,4,3,3,4,4,4,4,5,3,5,0,0
satisfied,Loyal Customer,21,Personal Travel,Eco Plus,2371,3,4,2,4,3,4,4,4,4,3,4,4,4,5,0,6
